word,mfa_start_time,mfa_end_time,gentle_start_time,gentle_end_time
CHAPTER,0.39,0.68,,
1,0.68,1.03,,
A,1.58,1.66,,
Not,1.66,1.99,,
Unnatural,1.99,2.77,,
Enterprise,2.77,3.58,,
This,5.04,5.27,,
is,5.27,5.37,,
written,5.37,5.72,,
from,5.72,6.0,,
memory,6.0,6.49,,
unfortunately,6.64,7.54,,
If,8.09,8.22,,
I,8.22,8.3,,
could,8.3,8.47,,
have,8.47,8.54,,
brought,8.54,8.84,,
with,8.84,9.02,,
me,9.02,9.15,,
the,9.15,9.22,,
material,9.22,9.77,,
I,9.77,9.86,,
so,9.86,10.05,,
carefully,10.05,10.57,,
prepared,10.57,11.09,,
this,11.09,11.27,,
would,11.27,11.35,,
be,11.35,11.48,,
a,11.48,11.51,,
very,11.51,11.83,,
different,11.83,12.24,,
story,12.24,12.86,,
Whole,13.42,13.65,,
books,13.65,14.11,,
full,14.11,14.33,,
of,14.33,14.46,,
notes,14.46,14.95,,
carefully,15.13,15.59,,
copied,15.59,16.03,,
records,16.03,16.66,,
firsthand,16.66,17.34,,
descriptions,17.34,18.14,,
and,18.14,18.33,,
the,18.33,18.4,,
pictures,18.4,19.13,,
that,20.19,20.3,,
’s,20.3,20.39,,
the,20.39,20.47,,
worst,20.47,20.78,,
loss,20.78,21.2,,
We,22.04,22.27,,
had,22.27,22.52,,
some,22.52,22.74,,
bird,22.74,22.95,,
eyes,23.07,23.38,,
of,23.38,23.47,,
the,23.47,23.57,,
cities,23.57,24.0,,
and,24.0,24.14,,
parks,24.14,24.6,,
a,25.14,25.21,,
lot,25.21,25.48,,
of,25.48,25.56,,
lovely,25.56,26.04,,
views,26.04,26.43,,
of,26.43,26.51,,
streets,26.51,27.3,,
of,27.43,27.5,,
buildings,27.6,28.24,,
outside,28.24,28.81,,
and,28.81,28.94,,
in,28.94,29.26,,
and,29.26,29.44,,
some,29.44,29.72,,
of,29.72,29.83,,
those,29.83,30.15,,
gorgeous,30.23,30.72,,
gardens,30.72,31.28,,
and,32.05,32.21,,
most,32.21,32.5,,
important,32.5,32.91,,
of,32.91,33.0,,
all,33.0,33.35,,
of,34.07,34.17,,
the,34.17,34.26,,
women,34.26,34.53,,
themselves,34.53,35.19,,
Nobody,36.47,36.97,,
will,36.97,37.28,,
ever,37.28,37.52,,
believe,37.52,37.93,,
how,37.93,38.13,,
they,38.13,38.28,,
looked,38.28,38.67,,
Descriptions,38.76,39.35,,
are,39.35,39.38,,
n’t,39.38,39.56,,
any,39.62,39.85,,
good,39.85,40.02,,
when,40.02,40.18,,
it,40.18,40.26,,
comes,40.26,40.64,,
to,40.64,40.74,,
women,40.74,41.0,,
and,41.0,41.11,,
I,41.11,41.21,,
never,41.21,41.41,,
was,41.41,41.67,,
good,41.67,41.82,,
at,41.82,41.88,,
descriptions,41.88,42.45,,
anyhow,42.45,42.96,,
But,43.78,43.94,,
it,43.94,44.0,,
’s,44.0,44.06,,
got,44.06,44.27,,
to,44.27,44.3,,
be,44.3,44.42,,
done,44.42,44.62,,
somehow,44.62,45.11,,
the,45.34,45.45,,
rest,45.45,45.76,,
of,45.76,45.84,,
the,45.84,45.91,,
world,45.91,46.23,,
needs,46.23,46.57,,
to,46.57,46.6,,
know,46.6,46.82,,
about,46.82,47.1,,
that,47.1,47.21,,
country,47.21,47.74,,
I,48.93,49.01,,
have,49.01,49.21,,
n’t,49.21,49.34,,
said,49.34,49.63,,
where,49.63,49.87,,
it,49.87,49.96,,
was,49.96,50.32,,
for,50.32,50.43,,
fear,50.43,50.73,,
some,50.73,51.09,,
self-appointed,51.09,51.74,,
missionaries,51.74,52.44,,
or,52.44,52.58,,
traders,52.58,53.18,,
or,53.18,53.3,,
land-greedy,53.3,53.61,,
expansionists,53.61,54.83,,
will,54.83,54.93,,
take,54.93,55.14,,
it,55.14,55.2,,
upon,55.2,55.5,,
themselves,55.5,55.94,,
to,55.94,55.98,,
push,55.98,56.28,,
in,56.28,56.63,,
They,57.57,57.75,,
will,57.75,57.97,,
not,57.97,58.27,,
be,58.27,58.48,,
wanted,58.48,59.05,,
I,59.62,59.71,,
can,59.71,59.85,,
tell,59.85,60.04,,
them,60.04,60.24,,
that,60.24,60.55,,
and,60.95,61.11,,
will,61.11,61.22,,
fare,61.22,61.53,,
worse,61.53,61.9,,
than,61.9,62.12,,
we,62.12,62.29,,
did,62.29,62.53,,
if,62.53,62.64,,
they,62.64,62.78,,
do,62.78,62.97,,
find,62.97,63.21,,
it,63.21,63.42,,
It,65.21,65.35,,
began,65.35,65.72,,
this,65.72,65.92,,
way,65.92,66.26,,
There,66.95,67.12,,
were,67.12,67.2,,
three,67.2,67.54,,
of,67.54,67.62,,
us,67.62,67.95,,
classmates,68.15,68.71,,
and,68.71,68.78,,
friends,68.78,69.28,,
Terry,70.01,70.39,,
O.,70.39,70.5,,
Nicholson,70.5,71.14,,
we,71.33,71.46,,
used,71.46,71.66,,
to,71.66,71.69,,
call,71.69,71.9,,
him,71.9,72.07,,
the,72.07,72.2,,
Old,72.2,72.38,,
Nick,72.38,72.73,,
with,72.73,72.88,,
good,72.88,73.06,,
reason,73.06,73.49,,
Jeff,74.13,74.36,,
Margrave,74.36,74.89,,
and,75.22,75.36,,
I,75.36,75.72,,
Vandyck,76.06,76.46,,
Jennings,76.46,76.96,,
We,77.96,78.11,,
had,78.11,78.21,,
known,78.21,78.42,,
each,78.42,78.58,,
other,78.58,78.7,,
years,78.7,79.12,,
and,79.12,79.21,,
years,79.21,79.58,,
and,79.58,79.65,,
in,79.65,79.73,,
spite,79.73,80.02,,
of,80.02,80.1,,
our,80.1,80.22,,
differences,80.22,80.79,,
we,80.79,80.89,,
had,80.89,81.04,,
a,81.04,81.07,,
good,81.07,81.27,,
deal,81.27,81.53,,
in,81.53,81.63,,
common,81.63,82.13,,
All,82.64,82.82,,
of,82.82,82.89,,
us,82.89,83.03,,
were,83.03,83.12,,
interested,83.12,83.54,,
in,83.54,83.65,,
